scenario,year,net_worth,taxes,withdrawal_taxes,early_withdrawal_penalty,withdrawn:joint-brokerage,withdrawn:alex-401k,withdrawn:jordan-403b,withdrawn:jordan-roth-ira,withdrawn:alex-roth-ira,withdrawn:alex-hsa,withdrawn:emergency-savings
sell-the-house-at-retirement,2027,1022682.520600,40027.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2028,1161886.588130,40813.950800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2029,1324640.320241,41616.323769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2030,1502394.667061,42429.198597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2031,1697070.273736,43649.162029,395.578924,103.464952,262.477168,667.177841,367.471679,149.789795,29.987206,57.854462,39.109789
sell-the-house-at-retirement,2032,1908850.955525,44687.790734,133.424976,34.769864,89.291017,225.855673,121.842971,51.429688,12.640701,20.162892,12.014879
sell-the-house-at-retirement,2033,2138803.079400,46012.958113,126.208904,32.772960,84.978942,214.304386,113.425210,49.454592,14.124801,19.597182,10.383500
sell-the-house-at-retirement,2034,2388357.947164,47356.182481,353.327652,91.436632,238.895839,601.557707,312.808610,140.571564,45.068909,56.757295,26.632371
sell-the-house-at-retirement,2035,2659307.076155,48483.664239,60.770267,15.675079,41.196635,103.705219,53.045575,24.480826,8.580673,10.041276,4.207144
sell-the-house-at-retirement,2036,2953029.744319,49908.952693,33.723829,8.671429,22.893323,57.668263,29.046023,13.744930,5.184192,5.707604,2.149260
sell-the-house-at-retirement,2037,3270357.780217,51382.569815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2038,3613835.426696,52922.990505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2039,3985644.128210,54512.211968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2040,4386622.339182,56151.327310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2041,4820249.633758,57843.492411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2042,5688873.186841,45258.928096,19828.125322,0.000000,32629.679866,49119.853042,23275.871126,12374.844602,5768.161575,5182.969564,1165.481430
sell-the-house-at-retirement,2043,5944300.091891,42249.364469,23680.481309,0.000000,44950.092213,67666.674413,32368.895465,17479.205703,7946.121315,7086.836085,1523.403117
sell-the-house-at-retirement,2044,6204213.872384,30892.364421,19682.541229,0.000000,45921.569366,69129.110305,33206.627951,18149.632501,8117.855675,7186.120207,1476.701384
sell-the-house-at-retirement,2045,6380834.615676,20338.636022,19505.604702,0.000000,64456.227455,97030.692092,46262.478159,25475.105857,11394.348213,10011.487152,1966.674791
sell-the-house-at-retirement,2046,6561598.894405,21008.697470,20176.576198,0.000000,66675.572215,100371.634723,47499.246095,26352.259934,11786.676278,10279.131403,1930.305850
sell-the-house-at-retirement,2047,6746550.378093,21694.287739,20863.062711,0.000000,68963.340258,103815.579945,48763.425802,27256.457021,12191.099973,10552.707731,1894.389907
sell-the-house-at-retirement,2048,6958916.387877,22496.642728,21666.300262,0.000000,65859.378883,99142.958968,46222.082244,26029.674943,11642.392453,10002.745226,1716.565663
sell-the-house-at-retirement,2049,7308091.220073,23714.241091,22760.971955,0.000000,37395.929731,56294.838940,26050.266202,14780.034547,6610.722686,5637.439147,924.823449
sell-the-house-at-retirement,2050,7707812.057975,22723.049294,20653.913000,0.000000,31582.576008,47543.570716,21836.917621,12482.416344,5583.058188,4725.644386,741.094782
sell-the-house-at-retirement,2051,8132080.518713,23615.225027,21517.472482,0.000000,32782.476469,49349.868988,22497.874979,12956.654326,5795.172428,4868.679657,729.893794
sell-the-house-at-retirement,2052,8582565.154531,24527.943108,22402.319654,0.000000,34018.680840,51210.818199,23172.514620,13445.240743,6013.704347,5014.675859,718.665984
sell-the-house-at-retirement,2053,9061053.597937,25461.612777,23308.661609,0.000000,35292.252010,53128.018397,23861.130886,13948.595681,6238.841839,5163.696689,707.425482
sell-the-house-at-retirement,2054,9552541.521689,41917.652442,3090.456256,0.000000,4412.590437,148099.833148,2961.155579,1743.992984,780.042425,640.812430,83.924093
sell-the-house-at-retirement,2055,10073644.006847,43653.532659,2373.182482,0.000000,3456.434186,156205.988870,2302.246670,1366.090295,611.016441,498.220456,62.375356
sell-the-house-at-retirement,2056,10608360.134164,62665.091595,0.000000,0.000000,0.000000,161135.651340,71692.360176,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2057,11173658.511936,66718.971915,0.000000,0.000000,0.000000,172433.457803,76172.981437,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2058,11771500.974890,70953.311851,0.000000,0.000000,0.000000,184487.455446,80566.732144,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2059,12403803.067018,75548.824609,0.000000,0.000000,0.000000,197342.212552,85573.954547,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2060,13072992.764851,80161.065996,0.000000,0.000000,0.000000,209955.838508,90874.672963,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2061,13781073.990038,85352.654849,0.000000,0.000000,0.000000,224482.512740,96483.259834,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2062,14530992.785975,90382.011290,0.000000,0.000000,0.000000,238591.936211,101886.322384,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2063,15324876.806422,96218.540702,0.000000,0.000000,0.000000,254959.627073,108125.069736,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2064,16166157.139224,101792.659700,0.000000,0.000000,0.000000,270655.579114,114065.839810,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2065,17057748.687373,107827.676774,0.000000,0.000000,0.000000,287126.395607,120983.797202,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2066,18003174.991018,113954.525005,0.000000,0.000000,0.000000,304373.918676,127476.090219,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2067,19030024.237931,103701.737247,0.000000,0.000000,0.000000,320036.956097,134227.291050,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2068,20090900.149156,139522.777021,0.000000,0.000000,0.000000,338705.778536,141231.345668,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2069,21217838.072727,145881.584515,0.000000,0.000000,0.000000,355155.219010,147393.980590,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2070,22415181.980724,152668.648634,0.000000,0.000000,0.000000,371832.072772,154831.092371,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2071,23688363.996061,159163.643138,0.000000,0.000000,0.000000,388616.159390,161142.363046,0.000000,0.000000,0.000000,0.000000
sell-the-house-at-retirement,2072,25132228.892442,150145.036444,0.000000,0.000000,0.000000,405353.588037,167453.538725,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2026,895584.300000,39232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2027,1022682.520600,40027.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2028,1161886.588130,40813.950800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2029,1324640.320241,41616.323769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2030,1502394.667061,42429.198597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2031,1697390.527883,43345.357387,91.774282,0.000000,1270.063297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2032,1909294.825077,44587.869683,33.297426,0.000000,433.316770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2033,2139369.630454,45920.702207,33.678930,0.000000,414.012707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2034,2240913.730633,16056.977171,1638.084205,0.000000,81776.557150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2035,2225681.193564,4384.567523,3555.758672,0.000000,163833.720524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2036,2202278.971227,5251.161052,4421.616024,0.000000,147506.655367,22517.133276,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2037,2139246.789573,34632.212591,33801.916662,0.000000,0.000000,204888.019009,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2038,2063884.986715,35665.611365,34834.549518,0.000000,0.000000,211569.091976,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2039,1975026.016210,36731.376295,35899.533211,0.000000,0.000000,218451.961324,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2040,1871407.109581,37829.974398,36997.334452,0.000000,0.000000,225542.176978,0.000000,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2041,1771831.512065,24202.297844,23368.845100,0.000000,0.000000,82719.840693,87318.526131,0.000000,0.000000,0.000000,48047.499678
retire-at-55-on-a-bridge,2042,1640986.184092,39785.163029,38993.163029,0.000000,0.000000,86070.615440,153954.623306,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2043,1492891.810805,40978.724713,40186.724713,0.000000,0.000000,89272.497919,158493.504784,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2044,1374361.054455,30298.955478,29506.955478,0.000000,0.000000,76255.917877,134376.489235,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2045,1255283.846132,28695.872246,27903.872246,0.000000,0.000000,74054.856709,129526.681376,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2046,1120976.493029,29555.917073,28763.917073,0.000000,0.000000,76836.436269,133391.716618,0.000000,0.000000,0.000000,0.000000
retire-at-55-on-a-bridge,2047,971557.225552,29113.928271,28321.928271,0.000000,0.000000,76741.968013,132236.253154,5252.739601,1515.370392,0.000000,0.000000
retire-at-55-on-a-bridge,2048,858017.849148,792.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133371.112533,38476.423808,0.000000,0.000000
retire-at-55-on-a-bridge,2049,860713.719458,792.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43225.964996,12470.320725,0.000000,0.000000
retire-at-55-on-a-bridge,2050,888430.321129,1873.773959,0.000000,0.000000,0.000000,0.000000,0.000000,25221.905301,7276.303685,0.000000,0.000000
retire-at-55-on-a-bridge,2051,916499.928310,1901.877178,0.000000,0.000000,0.000000,0.000000,0.000000,26375.841002,7609.204253,0.000000,0.000000
retire-at-55-on-a-bridge,2052,944894.304521,1929.173493,0.000000,0.000000,0.000000,0.000000,0.000000,27563.114208,7951.722405,0.000000,0.000000
retire-at-55-on-a-bridge,2053,973580.896516,1955.863698,0.000000,0.000000,0.000000,0.000000,0.000000,28784.899665,8304.197046,0.000000,0.000000
retire-at-55-on-a-bridge,2054,1002517.048391,1987.154609,0.000000,0.000000,0.000000,0.000000,0.000000,30046.287871,8668.096742,0.000000,0.000000
retire-at-55-on-a-bridge,2055,1031662.590225,2015.759247,0.000000,0.000000,0.000000,0.000000,0.000000,31342.704356,9042.101795,0.000000,0.000000
retire-at-55-on-a-bridge,2056,1060966.491622,2046.897025,0.000000,0.000000,0.000000,0.000000,0.000000,32679.313305,9427.702031,0.000000,0.000000
retire-at-55-on-a-bridge,2057,1090374.009785,2078.293935,0.000000,0.000000,0.000000,0.000000,0.000000,34055.496654,9824.719142,0.000000,0.000000
retire-at-55-on-a-bridge,2058,1119820.931490,2112.682753,0.000000,0.000000,0.000000,0.000000,0.000000,35474.556511,10234.105758,0.000000,0.000000
retire-at-55-on-a-bridge,2059,1149240.815721,2145.303236,0.000000,0.000000,0.000000,0.000000,0.000000,36934.015081,10655.147057,0.000000,0.000000
retire-at-55-on-a-bridge,2060,1178553.961755,2181.402333,0.000000,0.000000,0.000000,0.000000,0.000000,38439.197660,11089.379341,0.000000,0.000000
retire-at-55-on-a-bridge,2061,1207677.044327,2216.234403,0.000000,0.000000,0.000000,0.000000,0.000000,39987.711879,11536.112432,0.000000,0.000000
retire-at-55-on-a-bridge,2062,1236511.965579,2255.061435,0.000000,0.000000,0.000000,0.000000,0.000000,41584.971024,11996.908017,0.000000,0.000000
retire-at-55-on-a-bridge,2063,1264955.364740,2293.153278,0.000000,0.000000,0.000000,0.000000,0.000000,43228.673350,12471.102062,0.000000,0.000000
retire-at-55-on-a-bridge,2064,1292892.709521,2330.787877,0.000000,0.000000,0.000000,0.000000,0.000000,44920.444984,12959.163690,0.000000,0.000000
retire-at-55-on-a-bridge,2065,1320194.624989,2370.751513,0.000000,0.000000,0.000000,0.000000,0.000000,46663.901089,13462.135846,0.000000,0.000000
retire-at-55-on-a-bridge,2066,1346718.314832,2413.339058,0.000000,0.000000,0.000000,0.000000,0.000000,48460.766821,13980.516222,0.000000,0.000000
retire-at-55-on-a-bridge,2067,1356490.292039,792.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61731.329623,17808.959944,0.000000,0.000000
retire-at-55-on-a-bridge,2068,1354242.587244,3771.904291,0.000000,0.000000,0.000000,0.000000,0.000000,70661.139695,20385.133677,0.000000,0.000000
retire-at-55-on-a-bridge,2069,1347954.884674,3834.201419,0.000000,0.000000,0.000000,0.000000,0.000000,73160.596122,21106.205452,0.000000,0.000000
retire-at-55-on-a-bridge,2070,1337192.868995,3898.392462,0.000000,0.000000,0.000000,0.000000,0.000000,75735.055644,21848.914977,0.000000,0.000000
retire-at-55-on-a-bridge,2071,1321484.535726,3964.684236,0.000000,0.000000,0.000000,0.000000,0.000000,78386.884769,22613.944970,0.000000,0.000000
retire-at-55-on-a-bridge,2072,1340093.253625,528.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52401.967665,15117.518914,0.000000,0.000000
